C101.txt; 828,94; 3;   10
C101.txt; 828,94; 18;   10
C101.txt; 828,94; 18;   10
C101.txt; 828,94; 22;   10
C101.txt; 828,94; 22;   10
c101.txt; 828,94; 10;   10
c101.txt; 828,94; 12;   10
c102.txt; 831,90; 12;   10
c101.txt; 828,94; 9 sec.;   10
c101.txt; 828,94; 9 sec.;   10
c101.txt; 828,94; 9 sec.;   10
c101.txt; 828,94; 9 sec.;   10
c101.txt; 828,94; 25 sec.;   10
c101.txt; 828,94; 9 sec.;   10
c101.txt; 828,94; 12 sec.;   10
c101.txt; 828,94; 12 sec.;   10
c104.txt; 852,35; 8 sec.;   10
c101.txt; 828,94; 9 sec.;   10
c101.txt; 828,94; 13 sec.;   10
c102.txt; 834,64; 12 sec.;   10
r102.txt; Infinity; 11 sec.;    8
r103.txt; 1271,77; 11 sec.;   15
c101.txt; Infinity; 0 sec.;    1
c101.txt; Infinity; 0 sec.;    1
c101.txt; Infinity; 0 sec.;    0
c101.txt; 828,94; 13 sec.;   10
c101.txt; Infinity; 0 sec.;    1
c101.txt; Infinity; 0 sec.;   10
c201.txt; 591,56; 44 sec.;    3
rc101.txt; 1681,02; 45 sec.;   17
rc101.txt; 1681,02; 44 sec.;   17
rc105.txt; 1577,85; 54 sec.;   16
